symbol,timeframe,test_period,market_condition,signal_threshold,atr_stop_mult,atr_profit_mult,position_size,leverage,total_trades,win_rate,total_return_pct,cagr,max_drawdown_pct,sharpe_ratio,sortino_ratio,profit_factor,alpha,beta
BTC/USD,1h,Last_Week,High Volatility,60,2.5,4.0,0.25,1.0,21,0.14285714285714285,-0.029068339298600768,-0.9323660434402985,0.029068339298600768,-28.841468156370745,-28.84146815637075,0.8012485861943681,0.022792194224254235,0.01900278603593479
BTC/USD,1h,Last_Week,High Volatility,60,2.5,4.0,0.25,2.0,21,0.14285714285714285,-0.029068339298600768,-0.9323660434402985,0.029068339298600768,-28.841468156370745,-28.84146815637075,0.8012485861943681,0.022792194224254235,0.01900278603593479
BTC/USD,1h,Last_Week,High Volatility,75,1.5,3.0,0.25,1.0,4,0.0,-0.007292335143304444,-0.48743161162973414,0.007292335143304444,-10.538945469574058,-8.041125592137412,0.1514759257779603,0.04456819837955056,0.13753750504392914
BTC/USD,1h,Last_Week,High Volatility,75,1.5,3.0,0.25,2.0,4,0.0,-0.007292335143304444,-0.48743161162973414,0.007292335143304444,-10.538945469574058,-8.041125592137412,0.1514759257779603,0.04456819837955056,0.13753750504392914
BTC/USD,1h,Last_Week,High Volatility,75,1.5,4.0,0.25,1.0,4,0.0,-0.007292335143304444,-0.48743161162973414,0.007292335143304444,-10.538945469574058,-8.041125592137412,0.1514759257779603,0.04456819837955056,0.13753750504392914
BTC/USD,1h,Last_Week,High Volatility,75,1.5,4.0,0.25,2.0,4,0.0,-0.007292335143304444,-0.48743161162973414,0.007292335143304444,-10.538945469574058,-8.041125592137412,0.1514759257779603,0.04456819837955056,0.13753750504392914
BTC/USD,1h,Last_Week,High Volatility,75,2.0,3.0,0.25,1.0,4,0.0,-0.007292335143304444,-0.48743161162973414,0.007292335143304444,-10.538945469574058,-8.041125592137412,0.1514759257779603,0.04456819837955056,0.13753750504392914
BTC/USD,1h,Last_Week,High Volatility,75,2.0,3.0,0.25,2.0,4,0.0,-0.007292335143304444,-0.48743161162973414,0.007292335143304444,-10.538945469574058,-8.041125592137412,0.1514759257779603,0.04456819837955056,0.13753750504392914
BTC/USD,1h,Last_Week,High Volatility,75,2.0,4.0,0.25,1.0,4,0.0,-0.007292335143304444,-0.48743161162973414,0.007292335143304444,-10.538945469574058,-8.041125592137412,0.1514759257779603,0.04456819837955056,0.13753750504392914
BTC/USD,1h,Last_Week,High Volatility,75,2.0,4.0,0.25,2.0,4,0.0,-0.007292335143304444,-0.48743161162973414,0.007292335143304444,-10.538945469574058,-8.041125592137412,0.1514759257779603,0.04456819837955056,0.13753750504392914
BTC/USD,1h,Last_Week,High Volatility,75,2.5,3.0,0.25,1.0,4,0.0,-0.007292335143304444,-0.48743161162973414,0.007292335143304444,-10.538945469574058,-8.041125592137412,0.1514759257779603,0.04456819837955056,0.13753750504392914
BTC/USD,1h,Last_Week,High Volatility,75,2.5,3.0,0.25,2.0,4,0.0,-0.007292335143304444,-0.48743161162973414,0.007292335143304444,-10.538945469574058,-8.041125592137412,0.1514759257779603,0.04456819837955056,0.13753750504392914
BTC/USD,1h,Last_Week,High Volatility,75,2.5,4.0,0.25,1.0,4,0.0,-0.007292335143304444,-0.48743161162973414,0.007292335143304444,-10.538945469574058,-8.041125592137412,0.1514759257779603,0.04456819837955056,0.13753750504392914
BTC/USD,1h,Last_Week,High Volatility,75,2.5,4.0,0.25,2.0,4,0.0,-0.007292335143304444,-0.48743161162973414,0.007292335143304444,-10.538945469574058,-8.041125592137412,0.1514759257779603,0.04456819837955056,0.13753750504392914
BTC/USD,1h,Last_Week,High Volatility,90,1.5,3.0,0.25,1.0,3,0.0,-0.005627355444578461,-0.40267811702760825,0.005627355444578461,-10.538945469574015,-8.041125592137334,0.17839903991043235,0.04623317807827654,0.13753750504393142
BTC/USD,1h,Last_Week,High Volatility,90,1.5,3.0,0.25,2.0,3,0.0,-0.005627355444578461,-0.40267811702760825,0.005627355444578461,-10.538945469574015,-8.041125592137334,0.17839903991043235,0.04623317807827654,0.13753750504393142
BTC/USD,1h,Last_Week,High Volatility,90,1.5,4.0,0.25,1.0,3,0.0,-0.005627355444578461,-0.40267811702760825,0.005627355444578461,-10.538945469574015,-8.041125592137334,0.17839903991043235,0.04623317807827654,0.13753750504393142
BTC/USD,1h,Last_Week,High Volatility,90,1.5,4.0,0.25,2.0,3,0.0,-0.005627355444578461,-0.40267811702760825,0.005627355444578461,-10.538945469574015,-8.041125592137334,0.17839903991043235,0.04623317807827654,0.13753750504393142
BTC/USD,1h,Last_Week,High Volatility,90,2.0,3.0,0.25,1.0,3,0.0,-0.005627355444578461,-0.40267811702760825,0.005627355444578461,-10.538945469574015,-8.041125592137334,0.17839903991043235,0.04623317807827654,0.13753750504393142
BTC/USD,1h,Last_Week,High Volatility,90,2.0,3.0,0.25,2.0,3,0.0,-0.005627355444578461,-0.40267811702760825,0.005627355444578461,-10.538945469574015,-8.041125592137334,0.17839903991043235,0.04623317807827654,0.13753750504393142
BTC/USD,1h,Last_Week,High Volatility,90,2.0,4.0,0.25,1.0,3,0.0,-0.005627355444578461,-0.40267811702760825,0.005627355444578461,-10.538945469574015,-8.041125592137334,0.17839903991043235,0.04623317807827654,0.13753750504393142
BTC/USD,1h,Last_Week,High Volatility,90,2.0,4.0,0.25,2.0,3,0.0,-0.005627355444578461,-0.40267811702760825,0.005627355444578461,-10.538945469574015,-8.041125592137334,0.17839903991043235,0.04623317807827654,0.13753750504393142
BTC/USD,1h,Last_Week,High Volatility,90,2.5,3.0,0.25,1.0,3,0.0,-0.005627355444578461,-0.40267811702760825,0.005627355444578461,-10.538945469574015,-8.041125592137334,0.17839903991043235,0.04623317807827654,0.13753750504393142
BTC/USD,1h,Last_Week,High Volatility,90,2.5,3.0,0.25,2.0,3,0.0,-0.005627355444578461,-0.40267811702760825,0.005627355444578461,-10.538945469574015,-8.041125592137334,0.17839903991043235,0.04623317807827654,0.13753750504393142
BTC/USD,1h,Last_Week,High Volatility,90,2.5,4.0,0.25,1.0,3,0.0,-0.005627355444578461,-0.40267811702760825,0.005627355444578461,-10.538945469574015,-8.041125592137334,0.17839903991043235,0.04623317807827654,0.13753750504393142
BTC/USD,1h,Last_Week,High Volatility,90,2.5,4.0,0.25,2.0,3,0.0,-0.005627355444578461,-0.40267811702760825,0.005627355444578461,-10.538945469574015,-8.041125592137334,0.17839903991043235,0.04623317807827654,0.13753750504393142
BTC/USD,1h,Mid_Month,High Volatility,60,1.5,3.0,0.25,1.0,22,0.09090909090909091,-0.03997788747887061,-0.8810237631348578,0.03997788747887061,-32.52549289593824,-32.52549289593824,0.3435541736789611,-0.07278994680296488,0.07942251694397158
BTC/USD,1h,Mid_Month,High Volatility,60,1.5,3.0,0.25,2.0,22,0.09090909090909091,-0.03997788747887061,-0.8810237631348578,0.03997788747887061,-32.52549289593824,-32.52549289593824,0.3435541736789611,-0.07278994680296488,0.07942251694397158
BTC/USD,1h,Mid_Month,High Volatility,60,1.5,4.0,0.25,1.0,22,0.09090909090909091,-0.039911104346645514,-0.8805911384872072,0.039911104346645514,-32.37625063777678,-32.376250637776785,0.3472629990972791,-0.07272316367073979,0.08101628270152676
BTC/USD,1h,Mid_Month,High Volatility,60,1.5,4.0,0.25,2.0,22,0.09090909090909091,-0.039911104346645514,-0.8805911384872072,0.039911104346645514,-32.37625063777678,-32.376250637776785,0.3472629990972791,-0.07272316367073979,0.08101628270152676
BTC/USD,1h,Mid_Month,High Volatility,60,2.0,3.0,0.25,1.0,22,0.09090909090909091,-0.04090011734914569,-0.8868431190654213,0.04090011734914569,-30.67555064118125,-30.675550641181253,0.3265748449462397,-0.07371217667323997,0.08131287100492188
BTC/USD,1h,Mid_Month,High Volatility,60,2.0,3.0,0.25,2.0,22,0.09090909090909091,-0.04090011734914569,-0.8868431190654213,0.04090011734914569,-30.67555064118125,-30.675550641181253,0.3265748449462397,-0.07371217667323997,0.08131287100492188
BTC/USD,1h,Mid_Month,High Volatility,60,2.0,4.0,0.25,1.0,22,0.09090909090909091,-0.04083339837106759,-0.8864316549190246,0.04083339837106759,-30.545724312520807,-30.545724312520807,0.3300988665266936,-0.07364545769516187,0.08290663676247308
BTC/USD,1h,Mid_Month,High Volatility,60,2.0,4.0,0.25,2.0,22,0.09090909090909091,-0.04083339837106759,-0.8864316549190246,0.04083339837106759,-30.545724312520807,-30.545724312520807,0.3300988665266936,-0.07364545769516187,0.08290663676247308
BTC/USD,1h,Mid_Month,High Volatility,60,2.5,3.0,0.25,1.0,22,0.09090909090909091,-0.04126524429256315,-0.8890691373686086,0.04126524429256315,-29.983219656208654,-29.983219656208654,0.32032085014444567,-0.07407730361665743,0.08206129525628622
BTC/USD,1h,Mid_Month,High Volatility,60,2.5,3.0,0.25,2.0,22,0.09090909090909091,-0.04126524429256315,-0.8890691373686086,0.04126524429256315,-29.983219656208654,-29.983219656208654,0.32032085014444567,-0.07407730361665743,0.08206129525628622
BTC/USD,1h,Mid_Month,High Volatility,60,2.5,4.0,0.25,1.0,22,0.09090909090909091,-0.04119855071423426,-0.8886657675308688,0.04119855071423426,-29.86020984810602,-29.860209848106024,0.32377669553089056,-0.07401061003832854,0.08365506101384108
BTC/USD,1h,Mid_Month,High Volatility,60,2.5,4.0,0.25,2.0,22,0.09090909090909091,-0.04119855071423426,-0.8886657675308688,0.04119855071423426,-29.86020984810602,-29.860209848106024,0.32377669553089056,-0.07401061003832854,0.08365506101384108
BTC/USD,1h,Mid_Month,High Volatility,75,1.5,3.0,0.25,1.0,5,0.0,-0.011852222417770463,-0.463198097412056,0.011852222417770463,-16.778142591310353,-31.89807120743858,0.0,-0.044664281741864736,0.01481897755079144
BTC/USD,1h,Mid_Month,High Volatility,75,1.5,3.0,0.25,2.0,5,0.0,-0.011852222417770463,-0.463198097412056,0.011852222417770463,-16.778142591310353,-31.89807120743858,0.0,-0.044664281741864736,0.01481897755079144
BTC/USD,1h,Mid_Month,High Volatility,75,1.5,4.0,0.25,1.0,5,0.0,-0.011852222417770463,-0.463198097412056,0.011852222417770463,-16.778142591310353,-31.89807120743858,0.0,-0.044664281741864736,0.01481897755079144
BTC/USD,1h,Mid_Month,High Volatility,75,1.5,4.0,0.25,2.0,5,0.0,-0.011852222417770463,-0.463198097412056,0.011852222417770463,-16.778142591310353,-31.89807120743858,0.0,-0.044664281741864736,0.01481897755079144
BTC/USD,1h,Mid_Month,High Volatility,75,2.0,3.0,0.25,1.0,5,0.0,-0.012467244017838493,-0.48035641676819363,0.012467244017838493,-16.21366538818173,-25.237689136008214,0.0,-0.04527930334193277,0.016052394399741213
BTC/USD,1h,Mid_Month,High Volatility,75,2.0,3.0,0.25,2.0,5,0.0,-0.012467244017838493,-0.48035641676819363,0.012467244017838493,-16.21366538818173,-25.237689136008214,0.0,-0.04527930334193277,0.016052394399741213
BTC/USD,1h,Mid_Month,High Volatility,75,2.0,4.0,0.25,1.0,5,0.0,-0.012467244017838493,-0.48035641676819363,0.012467244017838493,-16.21366538818173,-25.237689136008214,0.0,-0.04527930334193277,0.016052394399741213
